project_id,line_id,project_name,bus0,bus1,segment_type,from_desc,to_desc,confidence,note,capacity_mw,capacity_source
260,1,Multi-purpose HVDC interconnection GB-NL,,,hub-hub (undetermined),TBD (GB),TBD (NL),unknown,Both landing points explicitly TBD on project page; cannot assign buses yet.,,
1192,1,HansaLink Phase 1,GB00,DE00,onshore-onshore (per table) / actually 3-node per description,"Fiddes (Scotland, onshore)","TBC -> Germany onshore (per description, via offshore multi-terminal platform, location TBD)",medium,"Investment table gives only one row Fiddes->TBC; description implies an offshore platform sits in between with no coordinates given. Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",,
1193,1,HansaLink Phase 2,GB00,DE00,onshore-onshore (per table) / actually 3-node per description,"Fiddes (Scotland, onshore)",TBC -> Germany onshore (reuses Phase 1 subsea cable + new offshore converter),medium,"Same caveat as Phase 1; appears to reuse Phase 1 route/template rather than an independently surveyed line. Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",,
1200,1,Hybrid interconnector Norway-Sorvest F Windfarm-Continent,NOS0,NOSOH01,onshore-hub,"Kristiansand (Norway, onshore)",Sorvest F windfarm (offshore hub),medium,"First leg, high confidence on topology, medium on exact bus (only one southern NO offshore bus available).",,
1200,2,Hybrid interconnector Norway-Sorvest F Windfarm-Continent,NOSOH01,DKWOH01,hub-hub,Sorvest F windfarm (offshore hub),Danish offshore island (location TBD),low,"Second leg ALTERNATIVE 1 of 3 (mutually exclusive options); DKWOH01 assumed as nearest DK North Sea hub. Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",,
1200,3,Hybrid interconnector Norway-Sorvest F Windfarm-Continent,NOSOH01,DEOH001,hub-hub,Sorvest F windfarm (offshore hub),Germany connection point (TBD),low,"Second leg ALTERNATIVE 2 of 3 (mutually exclusive with legs 2 and 4). Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",,
1200,4,Hybrid interconnector Norway-Sorvest F Windfarm-Continent,NOSOH01,BEOH001,hub-hub,Sorvest F windfarm (offshore hub),"Belgium connection point (TBD, near Mercator zone)",low,"Second leg ALTERNATIVE 3 of 3 (mutually exclusive with legs 2 and 3). Only ONE of legs 2/3/4 will likely be realized. Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",,
1211,1,Baltic WindConnector (BWC),EEOH001,DE00,hub-onshore,"Saaremaa-Hub (Estonia, offshore hub)","Bruenzow/Kemnitz area (Germany, onshore)",high,,,
1217,1,Further Development of Offshore Renewables (MOG 3),BEOH001,BE00,hub-onshore,"MOG 3 (Belgian North Sea, offshore hub)","Van Eyck (Belgium, onshore substation)",medium,"Uses nearest BE offshore hub bus; MOG3 may be a physically distinct site from the modeled BEOH001 node. Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",2000,"stated on project page (""2000MW radial connection"")"
1218,1,Hybrid HVDC Interconnector BE-NL,NLOH001,BE00,hub-onshore,"Offshore wind farm (Netherlands, radially-connected, unnamed)","Doel (Belgium, onshore substation)",medium,,,
335,1,North Sea Wind Power Hub (NSWPH),DKWOH01,DKWOH01,hub asset,Danish Hub,Danish Hub (offshore substation itself),medium,"Hub installation, not a line; bus assumed = nearest existing AC_OH bus DKWOH01.",,
335,2,North Sea Wind Power Hub (NSWPH),NLOH001,NLOH001,hub asset,Dutch Hub,Dutch Hub (offshore substation itself),high,,,
335,3,North Sea Wind Power Hub (NSWPH),DEOH001,DEOH001,hub asset,German Hub,German Hub (offshore substation itself),high,,,
335,4,North Sea Wind Power Hub (NSWPH),DKW1,DKWOH01,hub-onshore,"REVSING (Denmark, onshore, Jutland)",Danish Hub,high,,,
335,5,North Sea Wind Power Hub (NSWPH),NL00,NLOH001,hub-onshore,"Maasvlakte 380kV (Netherlands, onshore) - cable 1",Dutch Hub,high,,,
335,6,North Sea Wind Power Hub (NSWPH),NL00,NLOH001,hub-onshore,"Maasvlakte 380kV (Netherlands, onshore) - cable 2 (parallel)",Dutch Hub,high,,,
335,7,North Sea Wind Power Hub (NSWPH),DE00,DEOH001,hub-onshore,"Heide (West) (Germany, onshore)",German Hub,high,,,
335,8,North Sea Wind Power Hub (NSWPH),DE00,DEOH001,hub-onshore,"Substation north of Bremen (Germany, onshore)",German Hub,high,,,
335,9,North Sea Wind Power Hub (NSWPH),DE00,DEOH001,hub-onshore,"Substation area of Rastede (Germany, onshore)",German Hub,high,,,
335,10,North Sea Wind Power Hub (NSWPH),DKWOH01,NLOH001,hub-hub,Danish Hub,Dutch Hub,high,,,
335,11,North Sea Wind Power Hub (NSWPH),DKWOH01,DEOH001,hub-hub,Danish Hub,German Hub,high,,,
335,12,North Sea Wind Power Hub (NSWPH),NLOH001,DEOH001,hub-hub,Dutch Hub,German Hub,high,,,
1106,1,Bornholm Energy Island (BEI),DKE1,BEIOH01,onshore-hub,"Solhojgaard (Denmark, onshore, Zealand)",Bornholm Energy Island (offshore hub),high,,2000,"ONDP report, project-level total (BEI ~2GW) - project has 2 lines, unclear split"
